Day;ID;Name;Affiliation;Title;Abstract;;;;;;
18/6/26;indrana;Indranath Sengupta;Department of Mathematics, IIT Gandhinagar \\(x^2\\);$x^2$ Concatenation Numercial semigroups and Rossiís conjecture;"We exhibit a family of Numercial semigroups, formed by concatenation of two numerical semigroups of arithmetic sequences, which 
satisfies the Rossiís conjecture. Apery table has 
been explicitly calculated for this class of 
Numercial semigroups in order to prove the 
result. ";;;;;;
17/6/26;patricio;Patricio Almirn;Universidad de Valladolid;Towards a Classification of Plane Curves with Constant Tjurina Number;"The Tjurina number of a plane curve is one of its most important analytical invariants. In general, given a topological type, it is difficult to determine which conditions ensure that the Tjurina number remains constant within that class.This number can be computed in terms of distances between ideals in the value semigroup of the plane curve.

 In this talk, I will present the main challenges in obtaining Tjurina constant families. In addition, I will present a joint work with Marcelo E. Hernandes in which we provide a family of reduced plane curves with two branches that have a constant Tjurina number within their equisingularity class, along with a closed formula for this number in terms of topological data. This constitutes the first family of non-irreducible plane curves with more than one analytical class and a constant Tjurina number.";;;;;;
17/6/26;maria;Maria Alberich-Carramiana;Universitat Politcnica de Catalunya;Limit distribution of Hodge spectral exponents of irreducible plane curve singularities;We study the asymptotic distribution of Hodge spectral exponents of irreducible plane curves, comparing it with a continuous model. We give a closed formula for the discrepancy in terms of numerical invariants and characterize families whose limiting distribution coincides with the continuous one, identifying dominant intervals. This is joint work with Josep ùlvarez and Roger Gmez-Lpez, partially supported by the Spanish State Agency project PID2023-146936NB-I00 funded by MICIU/AEI/10.13039/501100011033 and by ERDF/EU.;;;;;;
18/6/26;alessios;Alessio Sammartano;Politecnico di Milano;On the the normality of certain affine semigroups;We investigate the normality of the affine subsemigroup generated by the lattice points of certain hyperplanes in N^d. This classical problem appears in connection with many interesting topics, from linear congruences, to ampleness of line bundles on weighted projective space, to blowup algebras and the Behrend function of zero-dimensional schemes. This is a collaboration with Claudia Polini and Bernd Ulrich.;;;;;;
17/6/26;julio;Julio-Jos Moyano-Fernndez ;Universitat Jaume I;Curve singularities with one Puiseux pair and value sets of modules over their local rings;In this paper we characterize the value set V of the R-modules of the form R+zR for the local ring R associated to a germ g of an irreducible plane curve singularity with one Puiseux pair. In the particular case of the module of Khler differentials attached to g, we recover some results of Delorme. From our characterization of V we introduce a proper subset of semimodules over the value semigroup of the ring R. Moreover, we provide a geometric algorithm to construct all possible semimodules in this subset for a given value semigroup. This is a join work with Maria Alberich and Patricio Almirn.;;;;;;
17/6/26;biplab;Biplab Dawn;Indian institute of technology Patna;Buchsbaumness, Macaulayfication and Castelnuovo-Mumford regularity of monomial curve;"Projective monomial curves are associated with rings generated by mono-
mials of equal degree in two variables. In this talk, we see a class of non-smooth, non
-Cohen-Macaulay k-Buchsbaum projective monomial curves for any k ° 1 and find the
 monomial generators for the respective Macaulayfication. Moreover, we demonstrate a
 general method to find the Macaulayfication of a k-Buchsbaum monomial curve for any
 k ° 1. We also discuss Castelnuovo-Mumford regularity of certain curves in terms of
 
k-Buchsbaumness and reduction number.";;;;;;
19/6/26;hamed;Ahmed Hamed ;University of Monastir,  Tunisia ;On the class group of numerical semigroup ring ; Let D be an integral domain and T a numerical semigroup. This article investigates the isomorphism between the divisor class groups \operatorname{Cl}(D[T]) and \operatorname{Cl}(D), where D[T] denotes the numerical semigroup ring associated to T. ;;;;;;
18/6/26;dumitru;Dumitru Stamate;University of Bucharest;Numerical semigroup tree: type-representation;"The numerical semigroups can be organized as the nodes of an infinite rooted tree, where 
the root corresponds to the set of all nonnegative integers and the more elements we remove from a numerical semigroup, the farther we get from the root.
Several conjectures circulate already about the magnitude of the growth of this tree. 

We suggest to refine the information by taking into account also the type of the semigroups.  We found that the number of semigroups of genus g and type t is constant when t is close to g, while g grows. We also study the unimodality of various sequences, as well as the behavior of the leaves in the semigroup tree. We put forward several conjectures that are supported by various computational experiments.

This is joint work with Jonathan Chappelon and Jorge Ramirez Alfonsin (arXiv:2507.15006 [math.AC]).";;;;;;
17/6/26;abdallah;Abdallah Assi;Larema, ngers university;Polynomial curves and their invariants;Plane polynomial curves over an algebraically closed field are plane curves parametrised by polynomials. Such curves have a unique place at infinity, which allows one  to associate a numerical semigroup with each of them. The aim of this talk is to study this class of curves through the arithmetic of numerical semigroups and their ideals, toghether with  invariants such as Milnor number and Turina number. In particular, we prove  that Turina number is at least half of Milnor number, then we investigate curves for which Turina number is close to Milnor number, as well as those for which it is close to half of Milnor number.;;;;;;
19/6/26;lorenzo;Lorenzo Guerrieri;Jagiellonian University in Krakow;Ulrich ideals in numerical and good semigroups;Ulrich ideals and modules are useful objects in the study of the theory of maximal Cohen-Macaulay modules over commutative rings. We study how an analogous notion can be studied for value semigroups of curve singularities (and more in general for good semigroups), and how this relates with the study of Ulrich ideals of the corresponding rings of algebroid curves. This is a joint work with Marco D'Anna, Rajesh Kumar Sau, and Vincenzo Micale.;;;;;;
19/6/26;yotam;Yotam Svoray;University of Utah ;The Milnor Number of One Dimensional Local Rings;In this talk we present an analogue of the Milnor number for one dimensional local ring, and we show that it satisfies analogous properties to those of the Milnor number of plane curves over a field. In addition, we present two analogues of the semi-group of values for a one dimensional ring and show how they relate to our Milnor number. Finally, we use these tools and techniques to show we can relate these semigroups of one dimensional rings of finite Cohen-Macaulay type to those of the classical ADE singularities. Based upon arXiv:2602.11519;;;;;;
25/2/26;alessiom;Alessio Moscariello;University of Graz;;;;;;;;
17/6/26;william;William Giovanni Hernndez Yanes;Universidad de La Laguna;Concentration of the semigroup of values of plane algebroid branches;In 2022, the concept of the concentration of a numerical semigroup was introduced by J. C. Rosales, M. B. Branco, and Mrcio A. Traesel, who characterized numerical semigroups with concentration 2. In this talk, we compute the concentration of value semigroups associated with plane algebroid curves and provide a geometric interpretation for these curves. This is joint work with Evelia R. Garca Barroso.;;;;;;
18/6/26;francesco;Francesco Strazzanti;University of Messina;Nearly Gorenstein affine semigroup rings;The notion of nearly Gorenstein ring has received considerable attention in recent years as a generalization of Gorenstein rings and, in the one-dimensional case, of almost Gorenstein rings. In this talk, after a brief introduction to these rings, we will recall some results for numerical semigroup rings and show how to generalize them to affine semigroup rings. ;;;;;;
19/6/26;hailong;Hailong Dao;University of Kansas;Recent results on one dimensional singularities: a report on human+machine collaboration;Let (R,m) be a one dimensional (local) reduced ring. I will discuss several new results on R: reflexivity of powers of maximal ideals, conductor of the blow-up of m with connections to the associated graded ring of m,  and decomposition of syzygies. Many of them were found by a combination of human insights, Macaulay 2 and ChatGPT. ;;;;;;
18/6/26;pietro;Pietro Campochiaro;Jagiellonian University, Krakw;Licci numerical semigroup ideals;"An ideal $I$ of a commutative unitary regular local ring $R$ is said to be perfect if the quotient $R/I$ is a Cohen-Macaulay ring, and in this case the codimension (height) of $I$ is equal to the length of the minimal free resolution of $R/I$. While perfect ideals of codimension 2 can be classified using the Hilbert-Burch Theorem, a classification for codimension 3 perfect ideals is not known. In order to study the codimension 3 case, algebraic linkage provides a useful tool. Indeed, every codimension 2 perfect ideal is licci, i.e. it is in the same linkage class of a complete intersection ideal. However, non-licci perfect ideals appear in codimension 3.\\
The ideal defined by a numerical semigroup with embedding dimension 4 in the corresponding polynomial ring has codimension 3. Thus, it is natural to study the problem of determining whether such ideals are licci or not, and to try to relate the numerical properties of the semigroup to licciness. We addressed this problem for some families of numerical semigroups (e.g. those generated by arithmetic sequences) using the theory of free resolutions and Betti numbers. Moreover, we proved that ideals defined by numerical semigroups of maximal embedding dimension are never licci and, more generally, that if two numerical semigroups lie in the interior of the same face of the Kunz cone, then either both are licci or both are non-licci. This is a work in progress.";;;;;;
19/6/26;veronica;Veronica Crispin Quinonez;Uppsala University;Complementary Hyperedge Ideals;"Let S be a polynomial ring over a field k in n>5 variables. Let H be a simple 3-uniform hypergraph on a finite vertex set and let I_c(H) denote its complementary hyperedge ideal. We investigate the algebraic and combinatorial properties of I_c(H) and the quotient ring S/I_c(H). A complete description of the minimal prime ideals of I_c(H) is obtained in terms of the induced subhypergraphs arising from the 2-section graphs, support triangles, and tetrahedral configurations. This yields an explicit description of the Alexander dual of I_c(H) and precise criteria for unmixedness. Using Alexander duality and homological methods, we characterize when I_c(H) has linear resolution, linear quotients, or is componentwise linear,
showing that these conditions are equivalent to completeness of the 2-section graph of H. We further classify all hypergraphs for which S/I_c(H) is Cohen-Macaulay, Gorenstein, or level.";;;;;;
19/6/26;pedro;Pedro A. Garca Snchez;Universidad de Granada;Reflexive ideals;;;;;;;
17/6/26;felix;Flix Delgado;Universidad de Valladolid;;;;;;;;
18/6/26;keiichi;Keiichi Watanabe;Nihon University;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;